bus_id,mae
1,0.010765368583567237
2,0.03354621370883358
3,0.008949957928567563
4,0.008309009939869496
5,0.01359248011367126
6,0.012475047315191673
7,0.008998003020976324
8,0.009771431642008527
9,0.03611988191584621
10,0.016602522797054715
11,0.03462804719587042
12,0.055509944194517796
13,0.025805841826792783
14,0.002640323693897239
15,0.00879945332649119
16,0.010429977495965219
17,0.016318660830801638
18,0.007117434242736369
19,0.018301866276958952
20,0.009327656942843392
21,0.009769120181381577
22,0.01739448896244137
23,0.008010124510439186
24,0.007561808362197076
25,0.007405113499119597
26,0.009687410210663418
27,0.008131192790137397
28,0.007843506411186554
29,0.00822849506102268
30,0.053846344632922476
31,0.03773941730678206
32,0.01802585428615786
33,0.043437397517498186
34,0.12259103707672415
35,0.042625822392399704
36,0.1178076135412452
37,0.1256738894578046
38,0.12043679875772705
39,0.009492272725895015
