0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
0.0,0.0,0.0,0.0,0.0,288.4967,288.72952,331.24005,655.7811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,650.0,300.0,74.81856,200.0,150.0,125.0,100.0,50.0,655.7811
0.0,0.0,0.0,0.0,0.0,288.4967,288.72952,331.24045,655.7819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,650.0,300.0,74.81856,200.0,150.0,125.0,99.99999,50.0,655.7819
0.0,0.0,0.0,0.0,0.0,288.49664,288.72968,331.24216,655.78375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,650.0,300.0,74.81846,200.0,150.0,125.0,100.0,50.0,655.78375
0.0,0.0,0.0,0.0,0.0,288.49664,288.7297,331.24603,655.78674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,650.0,300.0,74.81846,200.0,150.0,125.0,100.0,50.0,655.78674
0.0,0.0,0.0,0.0,0.0,288.49704,288.73032,331.24942,655.7904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,650.0,300.0,74.818924,200.0,150.0,125.0,99.99999,50.0,655.7904
0.0,0.0,0.0,0.0,0.0,288.49695,288.7305,331.2552,655.79565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0000005,650.0,300.0,74.81883,200.0,150.0,125.0,100.0,50.0,655.79565
0.0,0.0,0.0,0.0,0.0,288.49707,288.7309,331.2611,655.8012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9999995,650.0,300.0,74.81863,200.0,150.0,125.0,100.0,50.0,655.8012
0.0,0.0,0.0,0.0,0.0,288.49725,288.73132,331.26746,655.80756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,650.0,300.0,74.81853,200.0,150.0,125.0,100.0,50.0,655.80756
0.0,0.0,0.0,0.0,0.0,288.49756,288.7319,331.27518,655.81506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,650.0,300.0,74.81843,200.0,150.0,125.0,100.0,50.0,655.81506
0.0,0.0,0.0,0.0,0.0,288.4977,288.73254,331.2848,655.8233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,650.0,300.0,74.81823,200.0,150.0,125.0,100.0,50.0,655.8233
0.0,0.0,0.0,0.0,0.0,288.49786,288.733,331.29398,655.8322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,650.0,300.0,74.81802,200.0,150.0,125.0,99.9999,50.0,655.8322
0.0,0.0,0.0,0.0,0.0,288.498,288.73364,331.30408,655.8415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9999995,650.0,300.0,74.817825,200.0,150.0,125.0,100.0,50.0,655.8415
0.0,0.0,0.0,0.0,0.0,288.49847,288.73465,331.31546,655.8516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,650.0,300.0,74.81772,200.0,150.0,125.0,100.0,50.0,655.8516
