bus_id,mae
1,0.40350842103362083
2,0.32047610729932785
3,0.4993627294898033
4,0.6394335478544235
5,0.5297816619277
6,0.4399733915925026
7,0.4393521286547184
8,0.7200570404529572
9,0.5616722777485847
10,0.46428773179650307
11,0.3750906363129616
12,0.5179311484098434
13,0.4526483491063118
14,0.5851765647530556
15,0.5181054100394249
16,0.6235811747610569
17,0.37144114449620247
18,0.4565579444169998
19,0.4315895587205887
20,0.3521205857396126
21,0.31580134853720665
22,0.20215638354420662
23,0.19221969321370125
24,0.2326810546219349
25,0.17664000764489174
26,0.04629664495587349
27,0.11183790862560272
28,0.11080633848905563
29,0.06580658257007599
30,0.37226152420043945
31,0.3472011834383011
32,0.23568673618137836
33,0.30023508332669735
34,0.10757408291101456
35,0.3690240830183029
36,0.28422893956303596
37,0.09287214651703835
38,0.07829728722572327
39,0.2533108964562416
