bus_id,mae
1,0.009963658288561342
2,0.025384868373347736
3,0.002522016250634495
4,0.0019067051792949563
5,0.001963870277636162
6,0.00290857101417292
7,0.0028380725202681143
8,0.002207684617505295
9,0.05022510710144848
10,0.020771338152483044
11,0.015337673735015
12,0.07281802145111912
13,0.007950711288029634
14,0.006478735666234785
15,0.0032446057484622746
16,0.004063102011942159
17,0.017299489004199513
18,0.005712251748716781
19,0.00992721272043035
20,0.001827335936107716
21,0.0034812583199030234
22,0.01012591171993988
23,0.0035234151510246696
24,0.0023570102226885058
25,0.0027147971628084465
26,0.007101191121314648
27,0.0036495262560462148
28,0.003525472265758595
29,0.0033101745044128803
30,0.02532137515424173
31,0.041473237522543734
32,0.010747145436987092
33,0.024249936017809035
34,0.40786061828900994
35,0.024268114114109472
36,0.10968979775025371
37,0.028903378558812764
38,0.16715310187027926
39,0.0014750131323367735
